inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Meghalaya|East Khasi Hills|BETHANY SCHOOL OF NURSING,Bethany School Of Nursing,"Bethany School Of Nursing, Opp. Nec, Nongrim Hills, Shillong, Distt.- East Khasi Hills, Meghalaya, Pin Code- 793003",Dicky Ryntathiang Memorial Trust,East Khasi Hills,Meghalaya,Private,GNM,30 (Thirty),30,793003,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:38.184905
Meghalaya|East Khasi Hills|CIVIL HOSPITAL EAST KHASI HILLS,Civil Hospital East Khasi Hills,"Civil Hospital East Khasi Hills, School Of Nursing, Civil Hospital Shillong, Barik Point, Near Lady Hydari Park, Shillong-793001 , Shillong, Distt.- East Khasi Hills, Meghalaya, Pin Code- 793001",Government Of Meghalaya,East Khasi Hills,Meghalaya,Government,GNM,40 (Forty),40,793001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:38.184905
Meghalaya|East Khasi Hills|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing,Dr.H.Gordon Roberts Hospital, College Of Nursing, Dr.H.Gordon Roberts Hospital, Shillong., Shillong, Distt.- East Khasi Hills, Meghalaya, Pin Code- 793002",Khasi Jaintia Presbyterian Assembly,East Khasi Hills,Meghalaya,Private,Upgraded College of Nursing,40 (Forty),40,793002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:38.184905
Meghalaya|Jaintia Hills|DR NORMAN TUNNEL HOSPITAL,Dr Norman Tunnel Hospital,"Dr Norman Tunnel Hospital, Moosalyngkat , Jowai , Distt.- Jaintia Hills, Meghalaya, Pin Code- 793150",Khasi Jaintia Presbyterian Assembly,Jaintia Hills,Meghalaya,Private,GNM,30 (Thirty),30,793150,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:38.184905
Meghalaya|East Khasi Hills|FEMALE HEALTH WORKER TRAINING SCHOOL,Female Health Worker Training School,"Female Health Worker Training School, Theresa House Training Centre, Ganesh Das Hospital, Shillong, Distt.- East Khasi Hills, Meghalaya, Pin Code- 793001",Government Of Meghalaya,East Khasi Hills,Meghalaya,Government,ANM | GNM,20 (Twenty) | 40 (Forty),60,793001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:38.184905
Meghalaya|Ri Bhoi|GNM SCHOOL OF NURSING,Gnm School Of Nursing,"Gnm School Of Nursing, Pahamsyiem,Nongpoh, Gnm School Of Nursing Pahamsyiem Nongpoh., Nongpoh, Distt.- Ri Bhoi, Meghalaya, Pin Code- 793102",Directorate Of Health Services Mi,Ri Bhoi,Meghalaya,Government,GNM,20 (Twenty),20,793102,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:38.184905
Meghalaya|Jaintia Hills|NORTH EAST ADVENTIST COLLEGE OF NURSING,North East Adventist College Of Nursing,"North East Adventist College Of Nursing, Khliehtryshi, P.O. Thadlaskein, District, Meghalaya State, Khliehtryshi , Distt.- Jaintia Hills, Meghalaya, Pin Code- 793151",North East Adventist University,Jaintia Hills,Meghalaya,Private,B.Sc(N),40 (Forty),40,793151,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:38.184905
Meghalaya|East Khasi Hills|NORTH EASTERN INDIRA GANDHI REGIONAL INSTT OF HEALTH & MED SC.,North Eastern Indira Gandhi Regional Instt Of Health & Med Sc.,"North Eastern Indira Gandhi Regional Instt Of Health & Med Sc., N E I G R I H M S College Of Nursing, Mawdiangdiang, , Shillong, Distt.- East Khasi Hills, Meghalaya, Pin Code- 793018",North Eastern Indira Gandhi Regional Instt Of Health Med Sc.,East Khasi Hills,Meghalaya,Government,B.Sc(N) | M. Sc (N),"50 (Fifty) | 10 (Ten) Med-Surg-03, Chn-2, Paed-03, Obg-2",60,793018,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:38.184905
Meghalaya|East Khasi Hills|RINO SIMONETTI MEMORIAL SCHOOL OF NURSING,Rino Simonetti Memorial School Of Nursing,"Rino Simonetti Memorial School Of Nursing,, C/O Holy Cross Hospital Campus, Welbakgre, New Tura, Distt.- East Khasi Hills, Meghalaya, Pin Code- 794001",North East Society Of Sisters Of The Holy Cross,East Khasi Hills,Meghalaya,Private,GNM,30 (Thirty),30,794001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:38.184905
Meghalaya|Ri Bhoi|ST. JOSEPH'S ACADEMY OF NURSING,St. Joseph's Academy Of Nursing,"St. Joseph's Academy Of Nursing, Umtrew, Block-I, Ri-Bhoi District, Shillong, Distt.- Ri Bhoi, Meghalaya, Pin Code- 793105",Grace Educational Trust,Ri Bhoi,Meghalaya,Private,GNM,60 (Sixty),60,793105,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:38.184905
Meghalaya|East Khasi Hills|WOODLAND INSTITUTE OF NURSING,Woodland Institute Of Nursing,"Woodland Institute Of Nursing, Mawrie Lumheh, Laitkor Way To Shillong Peak , Shillong, Distt.- East Khasi Hills, Meghalaya, Pin Code- 793010",North East Hub Society,East Khasi Hills,Meghalaya,Private,GNM | B.Sc(N) | P B B.Sc(N),30 (Thirty) | 40 (Forty) | 30 (Thirty),100,793010,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:38.184905
