sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,A M G - Dr Satyavedam School Of Nursing,"A M G - Dr Satyavedam School Of Nursing, D.No: 51-1-3&4, Seethammadhara, Distt.- Visakhapatnam, Andhra Pradesh, Pin Code- 530013",A M G India International Society,Visakhapatnam,Andhra Pradesh,Private,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
2,A M G - Dr Satyavedam School Of Nursing,"A M G - Dr Satyavedam School Of Nursing, Post Box No:12,Gt Road,Amg Campus,, Vill.- Chilakaluripet, Tehsil- Chilakaluripet, Distt.- Guntur, Andhra Pradesh, Pin Code- 522616",A M G India International,Guntur,Andhra Pradesh,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
3,Academy Of Life Sciences- Nursing,"Academy Of Life Sciences- Nursing,, N R I Hospital, Gurudwara,Seethammadhara,, Visakhapatnam, Distt.- Visakhapatnam, Andhra Pradesh, Pin Code- 530013",Gadadhar Educational Society,Visakhapatnam,Andhra Pradesh,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
4,Adarsha College Of Nursing,"Adarsha College Of Nursing , Mahanandi Irrigation System Back Side, K.K. Colony, Kalyandurg Road, Vill.- Anantapur, Tehsil- Anantapur, Distt.- Ananthapur, Andhra Pradesh, Pin Code- 515004",Sri Venkateswara Educational Society,Ananthapur,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
5,Adarsha School Of Nursing,"Adarsha School Of Nursing, Mahanandi Irrigation System Back Side, K.K. Colony, Kalyandurg Road, Vill.- Anantapur, Tehsil- Anantapur, Distt.- Ananthapur, Andhra Pradesh, Pin Code- 515004",Sri Venkateswara Educational Society,Ananthapur,Andhra Pradesh,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
6,Aditya College Of Nursing,"Aditya College Of Nursing, Door No. 70-17A-30/5, Sasikanth Nagar, Kakinada, Distt.- East Godavari, Andhra Pradesh, Pin Code- 533003",Aditya Academy,East Godavari,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
6,Aditya College Of Nursing,"Aditya College Of Nursing, Door No. 70-17A-30/5, Sasikanth Nagar, Kakinada, Distt.- East Godavari, Andhra Pradesh, Pin Code- 533003",Aditya Academy,East Godavari,Andhra Pradesh,Private,GNM,45 (Forty Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
7,Aluri College Of Nursing,"Aluri College Of Nursing, Kurnool Road,Near Bus Stand, Ongole, Distt.- Prakasam, Andhra Pradesh, Pin Code- 523002",Rural India,Prakasam,Andhra Pradesh,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
8,American Nri College Of Nursing,"American Nri College Of Nursing, Sangivalasa, Bheemunipatnam, Visakhapatnam , Distt.- Visakhapatnam, Andhra Pradesh, Pin Code- 531162",Anil Neerukonda Educational Society,Visakhapatnam,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
8,American Nri College Of Nursing,"American Nri College Of Nursing, Sangivalasa, Bheemunipatnam, Visakhapatnam , Distt.- Visakhapatnam, Andhra Pradesh, Pin Code- 531162",Anil Neerukonda Educational Society,Visakhapatnam,Andhra Pradesh,Private,P B B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
